,id,text_pl,score
43,58,Cześć. Pan [name] poprosił o kilka spotkań w przyszłym tygodniu. Testy procesu spadkowego przesunięte do poniedziałku. Rejestracja czasu pracy rusza od dziś. Priorytet na uruchomienie. Pamiętaj tylko o zamówieniu. Miłego dnia,120.0
44,59,"Cześć, [name], powiedz Zosi, że lot mi się opóźnił. Niech przełoży jutrzejsze spotkanie z [OrgName] z godziny 10 na 16.",15.0
45,60,"[name], zamykamy księgi w środę, więc obdzwoń klientów i sprawdź, czy wszystkie faktury trafiły do adresatów. Nie możemy sobie pozwolić na żadne zwroty. Szczególnie zwróć uwagę na spożywkę, bo oni lubią przedłużać płatności i wszystko zwalać na nas.",120.0
46,61,"Jarku, jaki jest status projektu [PublicOrgName]. Za dwa dni mamy spotkanie wewnętrzne. Możesz mi wysłać dzisiaj do 14 notatkę z poprzedniego spotkania, które było dwa tygodnie temu?",30.0
47,62,"Potrzebuję na jutro nowe środowisko demo z aplikacjami RODO. Przygotuj je, [name], i podeślij mi namiary. Zwrotnie dam ci listę użytkowników do ustawienia.",120.0
48,63,[name]. Do instrukcji musisz dodać zrzuty ekranów z sekcji pierwszej i piątej. Zaznaczyłem wszystko w pliku. Odeślij mi całość jutro do 9.30.,60.0
49,64,"[name], potrzebuję statystyki projektowe za mijający kwartał. Jaka część sprintów skończyła się w zakładanym czasie, ile mieliśmy obsunięć.  Dorzuć też garść danych o kosztach. Wszystko to idzie do raportu dla Rady, która ma spotkać się 10. Potrzebujemy więc tego tak szybko, jak się da",120.0
50,66,"[name], podeślij mi pilnie fajle z raportami kwartalnej sprzedaży z zeszłego roku. W przyszłym tygodniu będzie kontrola i chcę to mieć pod ręką.",60.0
51,67,"[name], wysłałam Ci uwagi do analizy [OrgName]. Odpisz w komentarzach i odeślij dokument do jutra do 10.",120.0
52,68,"[name], skończ dziś temat delegacji, bo od jutra musimy zająć się obiegiem faktur dla Urzędu. Tam deadline jest na koniec kwietnia, więc czasu niewiele. Zaczynamy od kwestii akceptacji u Skarbnika.",60.0
53,69,"[name], czy moglibyśmy się jutro zdzwonić w sprawie statusu różnych tematów u Was. Pytałeś też ostatnio o podpis kwalifikowany – mamy update w tym temacie. Kiedy jutro by Ci odpowiadało (30 min – 1h), godziny między 9 a 15 dowolne? Pozdrawiam,",60.0
54,70,"[name], będę wdzięczny za podesłanie strategii zmian w obszarze IT [OrgName] do jutra. Wiem, że czasu jest mało, ale już mamy prawie tydzień opóźnienia. Tracą cierpliwość. Potrzebne jest coś ekstra, aby nie zaczęli szaleć. Może zaproponuj 3 scenariusze, niech mają nad czym główkować.",180.0
55,72,"[name], wrzuć, proszę, na [product name] - [link]  , nagranie z drugich warsztatów, które odbyły się pod moją nieobecność 14 marca. Klient przypomniał się właśnie w tej sprawie i pogania nas.",30.0
56,73,"[name], potrzebuję Cię w przyszły piątek u [name]. Masz prawie dwa tygodnie na przygotowanie strategii cross-sellingu. I ani dnia dłużej. To musi zaskoczyć. Ruszamy przynajmniej 25% w górę, albo zamykamy Twój zespół.",20160.0
57,74,"Cześć, Zobaczysz co się dzieje? Daj znać jeśli potrzebujesz więcej informacji.",30.0
58,75,"[name], spotkaj się z [name] jeszcze dziś i ustalcie wydatki marketingowe na kolejny kwartał. Musimy zamknąć budżet do dwudziestego.",120.0
59,76,"[name], daj mi do wtorku znać którą wersję platformy będziemy wgrywać. Muszę przesłać info do klienta jeszcze w tym tygodniu, a trzeba jeszcze przygotować instrukcje dla użytkowników. To również Twoje zadanie.",30.0
60,77,"[name], gdzie zapisałaś zrzuty ekranów potrzebne do napisania instrukcji Delegacji. Proszę, wyślij mi je jutro do 11.",30.0
61,78,"[name], koniec pajacowania. Ten zestaw procedur ma być na moim kompie do czwartku. Sczytany, bez literówek i innego śmiecia. Weź do pomocy kogo chcesz, ale tu już nie ma przebacz.",120.0
62,79,"[name], sprawdź proszę poniższe punkty i zdzwońmy się jak będziemy wiedział, czy to faktycznie błędy. Pozdrawiam,",60.0
63,80,"[name] i [name], doceniam Wasze wysiłki w pozyskaniu tych ciepłowni ze [geogr name]. Czekam jednak na konkretne wyniki. Prześlijcie mi na jutro rano szacunki sprzedaży. W stosunku do ich realizacji będzie liczona Wasza premia. Pamiętajcie jednak, że cel ma być ambitny.",60.0
64,81,"[name], spotkaj się dziś z [name] i ustalcie główne założenia do procedury SDLC. Propozycję materiału na Zarząd potrzebujemy do końca miesiąca.",120.0
65,85,"Mamy obsuwę w projekcie na przynajmniej 2 tygodnie. Wciąż klient nie dostarczył wypełnionej ankiety audytowej. Zaproponuj, [name], co możemy z tym zrobić.",30.0
66,87,"Mógłbyś do jutra przeczytać załączoną ofertę pod względem poprawności językowej i logiki? Pozdrawiam, [name]",60.0
67,89,Cześć [name]. Mobilna wersja aplikacji to clue całego projektu. Cała reszta to tylko dodatek. Podeślij mi jutro kto u Ciebie będzie zajmował się tematem i jego/jej szacunki pracochłonności,30.0
68,90,"[name], Twoje jutrzejsze spotkanie z [OrgName] jest aktualne. Odbierz ich z lotniska o 14:00. Potem macie obiad na [geogr name]. Przyprowadź ich do mnie około 17:30.",240.0
69,91,"Cześć! Potrzebuję opublikować 3 ogłoszenia o pracy na pracuju do czwartku. Dla developera, UX designera i handlowca. Przygotuj, proszę, treść - wraz z profilem firmy – na jutro, 1400.",180.0
70,93,"Cześć, bardzo proszę o przesyłanie zmian do wprowadzenia. Mamy ograniczone możliwości czasowe na wykonanie zmian. Pozdrawiam [name]",30.0
71,94,"Tak, jak najbardziej możemy jutro omówić wszystkie kwestie. Myślę, że najlepiej by było umówić się w godz. 13:00-14:00. Pozdrawiam,",60.0
72,95,"Dzień dobry, bardzo proszę o potwierdzenie, że po aktualizacji wersji [product name] integracja z FK będzie możliwa. Nie ukrywam, że bardzo mi zależy na czasie i chciałabym aby proces jak naszybciej ruszył. Pozdrawiam",30.0
73,96,"Cześć, Do mnie zaproszenie na jutro nie dotarło. Sforwarduj, proszę.",15.0
74,97,"[name], potrzebuje Cię złapać między poniedziałkiem a środą. Mam pilny temat do omówienia w sprawie [OrgName].",90.0
75,98,"Dzień dobry, w takim razie przystępuję dziś do konfiguracji. Proszę o przesłanie [OrgName] SMS-em. [name and surname]",45.0
76,99,"[name], przygotuj grafik urlopów w okresie wakacyjnym. Dostarcz to do HRów jeszcze w tym tygodniu, abyśmy mogli zabezpieczyć front robót, gdyby wyskoczył jakiś niespodziewany projekt. Sprawa pilna i wazna.",90.0
77,100,"Dobrze, to zrób dziś taki opis na formularzu jak ustaliliśmy, a ostatecznie zdecyduje klient. Popraw też raporty - wszędzie należy dać w odpowiednim miejscu nagłówki 'Nazwa i numer dokumentu', a z Umów powierzenia usunąć kolumnę „Numer dokumentu”.",90.0
78,101,"[name], do końca tygodnia prześlij wyniki przeglądu uprawnień do folderów audytowych do mnie i [name]. Jest to pilne, bo kontroler już się z nami umawia na kolejną turę spotkań.",60.0
79,104,"[name], rozmowa o ocenie rocznej będzie pojutrze w południe. Przygotuj samoocenę.",60.0
80,105,"[name], prośba z mojej strony, dałbyś radę coś przeorganizować, żeby jednak zrobić spotkanie z [OrgName] w ten wtorek o 11? Oni mi płaczą, że mają dużo osób na spotkanie i trudno zgrać kalendarze, a chcielibyśmy domknąć ten temat jak najszybciej Pozdrawiam, [name]",30.0
81,107,"Dzień dobry Panie [name]. Podsyłam propozycje NDA dla naszego projektu. Proszę o przesłanie podpisanego dokumentu do wtorku, abyśmy zdążyli złożyć ofertę na konsorcjum.  Temat wygląda bardzo interesująco. Razem damy radę.",45.0
82,109,"[name], spróbuj tym razem nie spóźnić się z dostawą kodów dla encji. Reszta zespołu liczy na Ciebie. Musisz zamknąć temat do czwartku. Inaczej nie ręczę za siebie.",240.0
83,111,"Dzień dobry, Potrzebujemy trochę więcej czasu na wprowadzenie uwag z naszego poniedziałkowego spotkania. Czy moglibyśmy się spotkać na kolejną rundę dyskusji jutro po 16 lub w piątek? Pozdrawiam, [name]",30.0
84,112,"Jest interes do zrobienia. Potrzebuję od Ciebie tylko pełnego zaangażowania we wtorek i w środę. Zarezerwuj sobie, [name], czas w kalendarzu, aby nic nam nie przeszkadzało w domknięciu oferty.",1120.0
85,113,"[name], przejrzyj do środy te materiały o Secure-Labie. Potrzebuję konkretnych wytycznych dla developerów, aby zrobić coś podobnego dla [OrgName]. To duży deal, z niesamowitymi perspektywami.",120.0
86,114,"Panie [name], Bardzo dziękuję za dokument. Czy moglibyśmy umówić się na telekonferencję jutro, ewentualnie w środę? Jeśli tak to prosiłabym o podanie propozycji  najbardziej dogodnych dla Panów terminów i postaram się to spiąć z naszymi kalendarzami.",30.0
87,115,"Pani [name], Mamy dla Państwa okienko: środa 13/04, godzina 14:30 – 16:00. Czy Państwu pasuje ten termin? Na pytania postaram się jeszcze dzisiaj odpowiedzieć. Pozdrawiam, [name]",15.0
88,116,"Cześć, [OrgName] chce się zdzwonić w sprawie umowy w środę ok 10-11 (z prawnikami), jak Twój kalendarz?",15.0
89,117,"[name], poproś [name], żeby wysłał mi dokumentację [Bank Name], którą przygotował w środę. Nie mogę się do niego dodzwonić, a potrzebuje tych dokumentów do piątku do 10.",30.0
90,118,"[name], [name] potrzebuje pomocy przy dokończeniu front-endu dla [OrgName]. Dasz radę wygospodarować z 4 godziny w czwartek, aby z nim popracować?",240.0
91,119,"Cześć, [name], jutro mamy tego calla z [OrgName] w sprawie projektu OCR. Możesz mi podesłać dokładną godzinę spotkania?",15.0
92,120,"Cześć, Nie do końca rozumiem jak działają te procesy. Możemy jutro spotkać się i omówić wewnętrznie?",120.0
93,121,"Podeślijcie, na załączonym pliku, zestawienie Waszych godzin za marzec dla [Bank Name]. Potrzebuję to do środy, do południa.",30.0
94,123,"Kiedy uda Ci się przesłać do [OrgName] update po naszych wczorajszym callu? Tylko to nas jeszcze wstrzymuje przed powrotem do klienta i pchaniem tematu do przodu? Dzięki, M",15.0
95,124,"Dzień dobry pani [name], Mamy jeden przypadek u właściciela BPDD który chciał zrobić wymagany przegląd BPDD, ale niestety przy wyborze przeglądu i przy próbie wyszukiwania kontrahenta nie pojawia się on w wynikach wyszukiwania. Właściciel nie otrzymał również powiadomienia o zbliżającym się terminie badania. Na raporcie z rejestru BPDD jest informacja o poprawnym przypisaniu właściciela: Proszę o weryfikację po Państwa stronie.",60.0
96,125,"[name], A wtorek 11:00 ? W piątek może by dało radę ale tylko 30 min. Moim zdaniem to za mało czasu. Pozdrawiam",60.0
97,126,"[name], Do pogadania – daj znać kiedy możemy się zdzwonić Pozdr. M.",15.0
98,128,"[name], wspominałeś coś o pomysłach na wypromowanie naszego e-learningu w sieci. Przygotuj mi opis w kilku buletach i kosztorys. Wszystko na moim biurku w środę rano. Później pomyślimy co z tych pomysłów będzie realnie do wprowadzenia",180.0
99,129,"Panowie, Zdzwońmy się żeby omówić kwestie przetargu do [OrgName]. Proponuję dziś 16, jutro 9, 10, 16 – dajcie znać jak Wam odpowiada. - zapytanie od [OrgName] - załączam - proponowany układ [OrgName] prime [OrgName] podywkonawca Akcje po Waszej stronie: Declaration of Honour (Annex 5) ; załączam letter of intent; załączam oferta [OrgName]-[OrgName]; potwierdzenie warunków umowy ramowej; do ustalenia nic fancy konsultanci CV – template załączony dyplom (mgr/inż.) certyfikaty (DAMA, data management) [OrgName]; szkolenie ochrony informacji niejawnych + zaświadczenie (to jest do ustalenia kto to podpisuje) Pozdrawiam serdecznie",90.0
100,130,"[name], przejrzyj procedurę i dodaj swoje uwagi. Ostateczną wersję wysyłamy do prezesa w czwartek.",60.0
101,133,"[name], gdzie znajdę raport, który przygotowałaś dla [name]. Potrzebuje go do piątku.",30.0
102,134,"Hej, jutro na spotkaniu up ustalmy proszę dalszy plan. Wydaje mi się, że zanim im oddamy aplikacje na testy, to trzeba im krótko ją zaprezentować.",60.0
103,135,"Cześć, jak najbardziej możemy omówić ten temat jutro na spotkaniu o 16:15. Zaraz wyślę zaproszenie.",90.0
104,136,"[name], pamiętaj o wprowadzeniu dokumentacji [Bank Name] do repozytorium. Potrzebujemy jej na czwartek. Mamy spotkanie o 15.",60.0
105,137,"[name], liczę na Twój udział w kick-off procesu spadkowego w [OrgName]. Zaczynamy w piątek, w samo południe, na [geogr name]. Czekam na Twoje sugestie co do poprowadzenia tego spotkania, a w szczególności pierwszych zadań dla ludzi po stronie klienta.",60.0
106,138,"[name], do czwartku przygotuj zbiórkę w firmie w ramach WOŚP. Prezes obiecał, że dorzuci drugie tyle, to zbierzemy. Może być jeszcze lepszy wynik niż rok temu.",120.0
107,139,"Panie [name], puściłem zaproszenie na telko w czwartek. Porozmawiamy o aneksie do umowy, który Pan wczoraj przesłał.",60.0
108,140,"[name]. Znajdź oferty najlepszych szkoleń dla [OrgName] na rynku. Zrób ich zestawienie, silne i słabe strony. Zaproponuj jak możemy wejść na ten rynek z naszym potencjałem. Porozmawiajmy o tym w piątek u Ciebie w biurze, tak koło 4.",90.0
109,141,"Witaj [name]. Wysyłamy wkrótce wniosek do [PublicOrgName]u i brakuje nam już tylko kilku detali. Między innymi bilansu i rachunku wyników za ostatnie dwa lata. Pchnij je do [name], najdalej w czwartek.",120.0
110,142,"[name], przygotuj, proszę, zestawienie umów z zeszłego roku, z uwzględnieniem wdrożeń on-prem i w chmurze. Spotkajmy się w poniedziałek o 13:00, aby omówić wyniki.",180.0
111,143,"Proponujemy spotkać się w  środę 13/04. Dostępność  pomiędzy godzinami 12 a 15. Proszę o informację, która godzina będzie dla Państwa możliwa.",60.0
112,144,"[name], podeślesz mi powerpointa z ostatnia ofertą dla [name]? Będę miał podobny temat u nowego klienta i chciałbym skorzystać z wypracowanego wzorca. Mam za mało czasu na budowanie czegoś od nowa.",30.0
113,145,"[name], kto ostatnio robił nam pentesty? Znajdź mi na maj sprytną ekipę, abyśmy zdążyli połatać ewentualne dziury zanim [OrgName] upomni się o wyniki corocznych sec-przeglądów",90.0
114,146,"[name], Pamiętasz może jakie rozwiązania podrzucałeś DahliaMatic odnośnie ich problemów z widocznością rekordów dla poszczególnych użytkowników w [OrgName]? [OrgName] ma nadal z tym problem i prosi o podesłanie krótkiego opisu potencjalnych rozwiązań, o których rozmawialiśmy na spotkaniu z DahliaMatic Pozdrawiam, [name]",60.0
115,147,"Witam, podeślijcie mi proszę hasło do pliku. Wydaje mi się, że mogło zostać przekazane jedynie do [name and surname]. Pozdrawiam / Best regards, [name and surname]",15.0
116,148,"[name], słyszałem, że u Ciebie parę osób wypadło ostatnio z zespołu. Uzgodnij z pośrednikiem kogo potrzebujesz i szybko ruszajcie z rekrutacją. Masz zielone światło. Pamiętaj tylko, że budżet kadrowy musisz wykorzystać najpóźniej do końca kwartału. Potem nici z kasy.",120.0
117,154,[name]. Klient oczekuje jednego artykułu miesięcznie o tematach związanych z RODO. Do 11-ego. Najbliższy artykuł potrzebuje od Ciebie najpóźniej w poniedziałek.,240.0
118,155,"Cześć, [name], [name] odpisał do mnie, że mógłby się spotkać w drugiej połowie tygodnia. Ja bym proponował czwartek o 9:00, albo nawet o 8:30. Proszę, daj mi znać, jaki termin ci pasuje. Pozdrawiam, [name]",30.0
119,156,Dzień dobry Panie [name]. Czy możemy liczyć na skan podpisanej umowy? Dziękuję Pozdrawiam [name and surname],30.0
120,157,"[name], Załóż, proszę, testowe konto dla Pani [name]. Jak dla tego gościa z [OrgName]. Podeślij mi, proszę, użytkownika i hasło początkowe. Wyślę do klientki.",45.0
121,158,"[name], potrzebujemy przygotować nowy raport dla [OrgName] z obiegu faktur. Coś ze split payment. Znajdziesz na to czas w tym tygodniu? Klient nie płaci dużo, ale przynajmniej solidnie, na czas.",90.0
122,159,"[name], kiedy możemy spotkać się raz jeszcze, zadamy jeszcze raz pytania techniczne? Oczywiście pytania oraz nasze wątpliwości postaram się wysłać jutro mailem tak żebyście mieli materiał aby się przygotować. Pozdrawiam [name and surname]",120.0
123,160,"Cześć, mógłbyś podesłać nam ten plik, albo wrzucić go na [server address]? Nie mamy dostępu do X. Dzięki",30.0
124,161,"[name], sporo się ostatnio mówi o platformach typu low-code. Przygotuj na czwartego zestawienie głównych dostawców w Polsce, ze szczególnym uwzględnieniem zatrudnienia, listy klientów i cenników. Nie interesuje mnie skąd weźmiesz dane. Możesz skorzystać z naszych przyjaciół z [OrgName].",180.0
125,162,"[name], kiedy będziesz dostępna w przyszłym tygodniu? Potrzebuję ze dwie godziny na małe warsztaty z Design Thinking. Klient się uparł na tę metodykę i bez tego spotkania ani rusz. Czekam na wrzutkę do kalendarza",120.0
126,163,"[name], Twój pomysł na promocję [product name] jest świetny. Potrzebuję tylko paru szczegółów, aby przedstawić go zarządowi. Spotkajmy się jutro na lunchu i dogadajmy detale. Wrzucam wstępne zaproszenie w Teamsach.",90.0
127,164,"Dzień dobry, Użytkownicy zgłosili, że zmieniło się działanie aplikacji Kontrahenci. Ciężko znaleźć sposób na dodanie nowego kontrahenta. Okazuje się, że trzeba najpierw kliknąć „wyszukaj kontrahenta”, żeby pojawił się przycisk „Nowy kontrahent”. Proszę zobaczyć jako to teraz działa. Jeżeli nie da się tego w prosty sposób poprawić, to może dodać podpowiedź dotyczącą dodania nowego kontrahenta. Pozdrawiam, [name]",90.0
128,165,"Dzień Dobry Panie [name], Chcielibyśmy wykonać testy wydajnościowe [product name]/[product name] z użyciem ok 10000 rachunków. Mamy już przygotowane dane do wykonania tego testu. Na jaki dzień możemy się umówić, żeby wykonać taki test i prosić o Pana wsparcie w tym czasie? Czy np. piątek lub poniedziałek będzie odpowiedni? Proszę dać znać. Pozdrawiam,",120.0
129,166,"Panie [name], Proszę o sprawdzenie czy macie dostęp do naszego środowiska testowego [product name]. Pozdrawiam [name and surname]",30.0
130,167,"Dzień dobry, W nawiązaniu do rozmowy telefonicznej, potrzebowalibyśmy przeszkolenia dwóch osób z naszej firmy z zakresu ochrony informacji niejawnych. Szkolenie to potrzebne jest nam do spełnienia wymogów oferty, w której jesteśmy podwykonawcami [OrgName] Institute. Zgodnie z rozmową prosiłbym o przesłanie wzoru umowy ‘jednorazowki’, kosztu usługi oraz zaproponowanie terminu szkolenie (powinniśmy mieć je przeprowadzone najpóźniej do 7 czerwca). Pozdrawiam, [name and surname]",120.0
131,168,"Dzień dobry, Ustawiliśmy dzisiaj parametr Limit pobieranych retencji na 5, ale w nowej sprawie 79 i następnie 80 zostało pobranych z hurtowni 6 Id retencji do usunięcia. Proszę o weryfikację. Pozdrawiam,",60.0
132,169,"[name], Podeślij proszę pytania i umówimy spotkanie na jutro lub początek przyszłego tygodnia. Pozdrawiam, [name] [name and surname]",60.0
133,170,"Dzień dobry, [name and surname] zgłasza brak dostępu do [name and surname] zgłasza problem z dostępem do Raporty \ BPDD \ Rejestr BPDD. Prosimy o nadanie dostępu, powinna zobaczyć BPDD, których jest właścicielem. Pozdrawiam,",45.0
134,171,"Dzień dobry, Dziękujemy za umowę. W związku z tym, że nasz projekt (na potrzeby którego potrzebujemy szkolenia [OrgName]) będzie się jednak rozpoczynał od września, szkolenie chcielibyśmy przeprowadzić np. pod koniec przyszłego tygodnia. Czy byliby Państwa w stanie zaproponować jakiś termin po 09.06? Pozdrawiam, [name and surname]",30.0
